epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2372.85,1.50786,0.96254,1.05727,0.82551,0.67293,0.77405,0.41224,1.46308,0.91826,1.07515,0.0011882,0.0011882,0.0011882
43,2429.45,1.51152,0.97963,1.0566,0.85035,0.68619,0.79109,0.42055,1.46084,0.90744,1.0723,0.0011684,0.0011684,0.0011684
44,2486.22,1.48865,0.95602,1.05817,0.86843,0.67831,0.78499,0.42062,1.44668,0.91682,1.06128,0.0011486,0.0011486,0.0011486
45,2543.32,1.48897,0.95277,1.05159,0.83712,0.69282,0.77768,0.42965,1.43582,0.91351,1.06128,0.0011288,0.0011288,0.0011288
46,2599.08,1.4744,0.94712,1.04088,0.87308,0.66519,0.7716,0.41763,1.43936,0.90939,1.06191,0.001109,0.001109,0.001109
47,2654.77,1.47594,0.94933,1.04335,0.84016,0.66409,0.77258,0.41238,1.50908,0.91416,1.08561,0.0010892,0.0010892,0.0010892
48,2711.42,1.47735,0.94996,1.05109,0.85781,0.67995,0.7818,0.42642,1.43593,0.89564,1.07059,0.0010694,0.0010694,0.0010694
49,2766.68,1.4443,0.91202,1.03818,0.88213,0.66188,0.77403,0.42902,1.42125,0.88359,1.06243,0.0010496,0.0010496,0.0010496
50,2821.51,1.4565,0.92917,1.04451,0.87617,0.65674,0.78695,0.43511,1.44292,0.85128,1.05977,0.0010298,0.0010298,0.0010298
51,2879.13,1.42886,0.90314,1.02897,0.85672,0.69061,0.78771,0.43222,1.42532,0.85189,1.05902,0.00101,0.00101,0.00101
52,2934.97,1.40213,0.88404,1.02139,0.88988,0.69061,0.79909,0.43873,1.43616,0.86056,1.05812,0.0009902,0.0009902,0.0009902
53,2990.35,1.42014,0.89904,1.02406,0.87435,0.6884,0.79966,0.44466,1.41373,0.84247,1.05003,0.0009704,0.0009704,0.0009704
54,3048.47,1.3964,0.87617,1.02291,0.8436,0.70327,0.79273,0.43336,1.41821,0.85641,1.05154,0.0009506,0.0009506,0.0009506
55,3104.75,1.39725,0.87139,1.02512,0.85207,0.70939,0.79985,0.44246,1.40757,0.84072,1.0403,0.0009308,0.0009308,0.0009308
